date,open,high,low,close,volume,vol_avg20,volatility_5,high_low_range,high_N,low_N,channel_mid,ema_8,ema_21,ema_50,vwap,rsi_14,supertrend,supertrend_dir,bb_upper,bb_lower,bb_mid,bb_width,atr,atr_median20,adx
2024-02-27 12:25:00,1419.7,1420.5,1419.0,1419.95,148378,368769.7,0.00020288602914825604,1.5,1422.55,1418.3,1420.425,1419.9029293815286,1420.6704864054484,1422.7973573960357,1418.1650593581846,68.67924528301936,1425.3870144709924,-1,1422.7645403227025,1415.2654596772973,1419.0149999999999,0.005284708509357032,2.438623196444276,3.2752447906285997,24.888790139481834
2024-02-27 12:35:00,1419.95,1420.7,1419.05,1420.35,138743,305902.3,0.0002136004546557009,1.650000000000091,1422.55,1418.3,1420.425,1420.0022784078556,1420.6413512776803,1422.7013825961913,1418.199555659774,73.35907335907392,1425.3870144709924,-1,1422.8528742052479,1415.267125794752,1419.06,0.005345614991963747,2.3597608767998577,3.2137230336494698,24.095612638463034
2024-02-27 12:45:00,1420.4,1422.0,1420.0,1421.85,232768,293072.4,0.00046395895221827606,2.0,1422.55,1418.3,1420.425,1420.4128832061099,1420.7512284342547,1422.6679950433995,1418.2922126320125,68.636363636364,1425.3870144709924,-1,1423.1743437019422,1415.4106562980578,1419.2925,0.005470110920676675,2.323784789119872,3.1509482804091675,22.577883196812866
2024-02-27 12:55:00,1421.9,1423.25,1421.4,1422.05,458642,300759.2,0.0004249274615997536,1.849999999999909,1422.55,1418.3,1420.425,1420.7766869380855,1420.8692985765952,1422.6437599436583,1418.5124981877098,62.08791208791276,1425.3870144709924,-1,1423.4681990137676,1415.6068009862322,1419.5375,0.005537999543890423,2.2764063102078755,3.099850730284528,21.42679014840074
2024-02-27 13:05:00,1422.2,1423.7,1420.4,1423.05,371599,290588.1,0.00039628386349264803,3.2999999999999545,1423.25,1418.3,1420.775,1421.281867618511,1421.067544160541,1422.65969092626,1418.6801994801067,64.06250000000071,1425.3870144709924,-1,1423.9617039150164,1415.5582960849836,1419.76,0.005918893214369354,2.3787656791870835,3.038768107131435,20.03576443194921
2024-02-27 13:15:00,1423.1,1424.0,1421.8,1422.85,475282,304453.55,0.00047314758620646986,2.2000000000000455,1423.7,1418.3,1421.0,1421.630341481064,1421.2295856004919,1422.6671540271911,1418.9008777184788,62.1761658031088,1425.3870144709924,-1,1424.3557056850357,1415.5542943149642,1419.955,0.006198373448504853,2.3608891112683796,2.9523912964182983,18.899120637880245
2024-02-27 13:25:00,1422.85,1425.3,1422.0,1424.5,413481,294156.25,0.0005678790152562489,3.2999999999999545,1424.0,1418.3,1421.15,1422.268043374161,1421.526896000447,1422.7390303398504,1419.1207007465773,75.0,1425.3870144709924,-1,1424.624783728192,1416.2352162718078,1420.4299999999998,0.005906357551153083,2.454800200141537,2.8271521667764734,18.48485823040378
2024-02-27 13:35:00,1424.35,1425.1,1423.3,1424.9,461893,291906.05,0.000509537445646231,1.7999999999999545,1425.3,1418.3,1421.8,1422.8529226243475,1421.8335418185882,1422.8237742480917,1419.3678720543244,69.27710843373532,1425.3870144709924,-1,1424.5249758248224,1417.3950241751777,1420.96,0.005017700462817107,2.389320180127379,2.696936950098835,18.100185994889923
2024-02-27 13:45:00,1424.55,1424.8,1421.4,1423.85,559912,296183.15,0.0007348863492276109,3.3999999999998636,1425.3,1418.3,1421.8,1423.0744953744925,1422.0168561987164,1422.8640183952255,1419.5804675944316,69.27710843373342,1425.3870144709924,-1,1424.7155682217017,1417.814431778298,1421.2649999999999,0.004855629628115559,2.500388162114641,2.589743255088963,16.978115500574802
2024-02-27 13:55:00,1424.1,1424.1,1422.0,1423.95,270123,294107.6,0.0006912168250166899,2.099999999999909,1425.3,1418.3,1421.8,1423.2690519579387,1422.1925965442877,1422.9066059091383,1419.675118350154,76.47058823529272,1425.3870144709924,-1,1425.051296442702,1417.8887035572975,1421.4699999999998,0.005038863208794184,2.460349345903168,2.5216514124152516,15.936192898710761
2024-02-27 14:05:00,1424.0,1426.05,1423.05,1426.05,545384,295996.2,0.0008853416302398287,3.0,1425.3,1419.0,1422.15,1423.8870404117301,1422.543269585716,1423.0298762656428,1419.9344580953223,80.85106382978594,1417.0320394596176,1,1425.8336865790975,1417.6763134209023,1421.7549999999999,0.00573753787269624,2.514314411312851,2.507351286713746,15.65228317923076
2024-02-27 14:15:00,1426.0,1426.7,1418.7,1419.35,577573,312301.55,0.0023595638438244225,8.0,1426.05,1419.05,1422.55,1422.8788092091233,1422.252972350651,1422.8855673924804,1420.014616527313,48.25396825396773,1417.0320394596176,1,1425.8817404831746,1417.5132595168254,1421.6975,0.005886259887457991,3.062882970181566,2.507351286713746,15.393305736872902
2024-02-27 14:25:00,1419.4,1422.8,1419.0,1421.8,393492,322374.55,0.0025903570612067746,3.7999999999999545,1426.7,1418.7,1422.7,1422.6390738293182,1422.2117930460463,1422.842996122187,1420.0526178345526,55.67867036011055,1417.0320394596176,1,1425.859551980184,1417.7754480198157,1421.8174999999999,0.005685753593811025,3.1365946731634047,2.507351286713746,15.152826683254892
2024-02-27 14:35:00,1421.6,1423.45,1421.0,1422.25,358471,326535.45,0.0026022522013428567,2.4500000000000455,1426.7,1418.7,1422.7,1422.5526129783586,1422.2152664054965,1422.8197413722974,1420.1144984885984,56.91056910569075,1417.0320394596176,1,1425.8911677775639,1417.7988322224362,1421.845,0.005691433000873865,3.067935205847069,2.507351286713746,14.606452977500666
2024-02-27 14:45:00,1422.45,1422.95,1420.5,1421.2,312767,331697.75,0.002604661904647578,2.4500000000000455,1426.7,1418.7,1422.7,1422.252032316501,1422.1229694595422,1422.7562221027956,1420.1491805533199,53.24675324675318,1417.0320394596176,1,1425.8918577648785,1417.8531422351214,1421.8725,0.005653612071235079,3.006141685262367,2.507351286713746,14.312929794225704
2024-02-27 14:55:00,1421.2,1421.9,1419.35,1420.95,530483,347099.0,0.0024073296256490093,2.550000000000182,1426.7,1418.7,1422.7,1421.9626918017232,1422.0163358723112,1422.6853898634704,1420.1721757268306,51.57068062827257,1417.0320394596176,1,1425.8624718044084,1417.9875281955915,1421.925,0.0055382271278842056,2.9605275167361484,2.507351286713746,14.514823808182493
2024-02-27 15:05:00,1421.05,1421.5,1418.1,1419.75,913190,386504.75,0.0010431662573865276,3.400000000000091,1426.7,1418.7,1422.7,1421.4709825124514,1421.8103053384646,1422.5702765354913,1420.147498395266,44.414893617021704,1417.0320394596176,1,1425.888272281259,1417.911727718741,1421.9,0.005609778861043594,3.0044747650625427,2.507351286713746,15.175361957440565
2024-02-27 15:15:00,1419.75,1421.5,1419.15,1421.5,809044,417721.85,0.0008514532084690843,2.349999999999909,1426.7,1418.1,1422.4,1421.4774308430178,1421.7820957622405,1422.5283049066486,1420.177796781439,48.648648648648795,1417.0320394596176,1,1425.8621318071912,1418.0978681928088,1421.98,0.005460177790392559,2.9390272885562796,2.507351286713746,15.78871881032306
2024-02-27 15:25:00,1421.45,1421.75,1419.15,1420.85,380526,425791.9,0.0008402682832719053,2.599999999999909,1426.7,1418.1,1422.4,1421.3380017667916,1421.6973597838548,1422.4624890279565,1420.1877023921938,44.50000000000008,1417.0320394596176,1,1425.8139026533033,1418.2560973466968,1422.035,0.005314781497365738,2.9051245597006425,2.507351286713746,16.19735442564229
2024-02-28 09:15:00,1421.0,1424.15,1417.5,1419.9,841005,459637.8,0.0008295535277262197,6.650000000000091,1426.7,1418.1,1422.4,1421.0184458186159,1421.533963439868,1422.3619992621543,1420.5166666666667,42.89156626506083,1417.0320394596176,1,1425.7988611700748,1418.2911388299253,1422.045,0.005279525148746698,3.2796121037305874,2.507351286713746,15.887689391516272
2024-02-28 09:25:00,1419.9,1422.4,1418.65,1422.25,281288,466283.3,0.0011682843926755816,3.75,1426.7,1417.5,1422.1,1421.2921245255902,1421.5990576726074,1422.3576071342268,1420.6628715050347,44.75524475524482,1417.0320394596176,1,1425.7822412369874,1418.5377587630128,1422.16,0.005093999601995996,3.3266508933575287,2.7097194855067466,15.600143288399257
2024-02-28 09:35:00,1422.25,1422.85,1420.05,1422.0,205959,469644.1,0.0010538571992402667,2.7999999999999545,1426.7,1417.5,1422.1,1421.4494301865702,1421.6355069750975,1422.3435833250414,1420.8133514950475,43.19248826291064,1417.0320394596176,1,1425.7649505524878,1418.7200494475123,1422.2425,0.004953375465137102,3.2739858040217715,2.9220759241284613,15.092450086500593
2024-02-28 09:45:00,1421.9,1423.0,1421.55,1421.7,173604,466685.9,0.0009309486701271863,1.4500000000000455,1424.15,1417.5,1420.825,1421.5051123673325,1421.6413699773614,1422.3183447632753,1420.960152471342,44.76885644768888,1417.0320394596176,1,1425.7616056440158,1418.708394355984,1422.235,0.00495924463118384,3.091587223619599,2.9497774026462142,14.538119601371264
2024-02-28 09:55:00,1421.7,1421.75,1419.0,1420.1,174421,452474.85,0.0010574622059988117,2.75,1424.15,1417.5,1420.825,1421.1928651745918,1421.5012454339649,1422.2313508509899,1420.889727672296,41.269841269840946,1417.0320394596176,1,1425.7911751504816,1418.4838248495184,1422.1375,0.005138286769713426,3.057428501257639,2.9825011408993456,15.107431987580533
